name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,showcase,image_front,image_rear,notes
Dustin Pedroia,Boston Red Sox,2010,2009,2B,topps,109,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,dust_2010_top_109_f.png,dust_2010_top_109_r.png,NA
Wade Boggs,Boston Red Sox,2022,2021,3B,topps,T87-86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,1,wade_2022_top_t8786_f.png,wade_2022_top_t8786_r.png,NA
David Ortiz,Boston Red Sox,2021,2020,DH,topps,687,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,davi_2021_top_687_f.png,davi_2021_top_687_r.png,NA
J.D. Martinez,Boston Red Sox,2021,2020,"OF, DH",topps,182,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,j.d._2021_top_182_f.png,j.d._2021_top_182_r.png,NA
Trevor Story,Boston Red Sox,2023,2022,"2B, SS",topps,T88-35,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1,trev_2023_top_t8835_f.png,trev_2023_top_t8835_r.png,NA
Xander Bogaerts,Boston Red Sox,2014,2013,SS,topps,133,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,xand_2014_top_133_f.png,xand_2014_top_133_r.png,Short Print
Wade Boggs,Boston Red Sox,2021,2020,3B,topps,509,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,wade_2021_top_509_f.png,wade_2021_top_509_r.png,"Topps Chrome, speckle"
Drew Smyly,Chicago Cubs,2022,2021,P,topps,USC66,0,0,0,0,1,1,0,0,1,0,0,purple,0,0,0,0,0,0,0,0,1,drew_2022_top_usc66_f.png,drew_2022_top_usc66_r.png,NA
Chris Sale,Chicago White Sox,2011,2010,P,topps,65,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,chri_2011_top_65_f.png,chri_2011_top_65_r.png,NA
Avisail Garcia,Chicago White Sox,2014,2013,OF,topps,526,1,0,0,0,1,1,0,0,0,0,0,red,0,0,0,0,0,0,0,0,1,avis_2014_top_526_f.png,avis_2014_top_526_r.png,NA
Jose Abreu,Chicago White Sox,2014,2013,1B,topps,496,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,jose_2014_top_496_f.png,jose_2014_top_496_r.png,NA
Jose Abreu,Chicago White Sox,2014,2013,1B,topps,496,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,jose_2014_top_496sp_f.png,jose_2014_top_496sp_r.png,Short Print
Jose Abreu,Chicago White Sox,2014,2013,1B,topps,US-325,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,jose_2014_top_us325_f.png,jose_2014_top_us325_r.png,"Rookie Debut March 31, 2014"
Dylan Cease,Chicago White Sox,2020,2019,P,topps,43,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,dyla_2020_top_43_f.png,dyla_2020_top_43_r.png,NA
Jake Burger,Chicago White Sox,2022,2021,3B,topps,186,0,1,0,0,1,1,0,0,0,0,0,silver,1,0,0,0,0,0,0,0,1,jake_2022_top_186_f.png,jake_2022_top_186_r.png,NA
Gavin Sheets,Chicago White Sox,2021,2020,"1B, OF",topps,87BA-GSH,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,gavi_2021_top_87bagsh_f.png,gavi_2021_top_87bagsh_r.png,NA
Dylan Cease,Chicago White Sox,2023,2022,P,topps,AA-22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dyla_2023_top_aa22_f.png,dyla_2023_top_aa22_r.png,All Aces
Leury Garcia,Chicago White Sox,2022,2021,"2B, OF",topps,348,0,0,0,0,1,1,0,0,0,0,0,brown,0,0,0,0,0,0,0029/2022,0,1,leur_2022_top_348_f.png,leur_2022_top_348_r.png,NA
Matt Davidson,Chicago White Sox,2014,2013,3B,topps,174,0,1,1,0,1,1,0,0,0,0,0,blue,0,0,0,0,0,0,1677/2014,0,1,matt_2014_top_174_f.png,matt_2014_top_174_r.png,14-Mar-13
Joey Votto,Cincinnati Reds,2014,2013,1B,topps,BO-11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,joey_2014_top_bo11_f.png,joey_2014_top_bo11_r.png,Breaking Out
Chris Heisey,Cincinnati Reds,2012,2011,OF,topps,636,0,0,0,0,1,1,0,0,0,0,0,gold,1,0,0,0,0,0,0,0,1,chri_2012_top_636_f.png,chri_2012_top_636_r.png,NA
Johnny Cueto,Cincinnati Reds,2008,2007,P,upper deck,707,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,john_2008_upp_707_f.png,john_2008_upp_707_r.png,NA
Aroldis Chapman,Cincinnati Reds,2011,2010,P,topps,110,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,arol_2011_top_110_f.png,arol_2011_top_110_r.png,NA
Pete Rose,Cincinnati Reds,1989,1988,manager,topps,505,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,pete_1989_top_505_f.png,pete_1989_top_505_r.png,NA
Hunter Greene,Cincinnati Reds,2022,2021,P,topps,694,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,hunt_2022_top_694_f.png,hunt_2022_top_694_r.png,NA
Joey Votto,Cincinnati Reds,2023,2022,C,topps,88AS-13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1,joey_2023_top_88as13_f.png,joey_2023_top_88as13_r.png,National League All Star
Richie Palacios,Cleveland Guardians,2022,2021,OF,topps,USC169,0,1,0,0,1,1,0,0,1,0,0,purple,0,0,0,0,0,0,0,0,1,rich_2022_top_usc169_f.png,rich_2022_top_usc169_r.png,NA
Carlos Santana,Cleveland Indians,2013,2012,C,topps,CH-7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,carl_2013_top_ch7_f.png,carl_2013_top_ch7_r.png,Chasing History
Justin Morneau,Colorado Rockies,2014,2013,1B,topps,MB-7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,just_2014_top_mb7_f.png,just_2014_top_mb7_r.png,NA
Ryan McMahon,Colorado Rockies,2021,2020,3B,topps,77,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ryan_2021_top_77_f.png,ryan_2021_top_77_r.png,Topps Gallery
Kris Bryant,Colorado Rockies,2022,2021,"3B, OF",topps,USC63,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,kris_2022_top_usc63_f.png,kris_2022_top_usc63_r.png,NA
Justin Verlander,Detroit Tigers,2006,2005,P,fleer,173,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,just_2006_fle_173_f.png,just_2006_fle_173_r.png,NA
Justin Verlander,Detroit Tigers,2006,2005,P,topps,641,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,just_2006_top_641_f.png,just_2006_top_641_r.png,NA
Justin Verlander,Detroit Tigers,2006,2005,P,upper deck,922,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,just_2006_upp_922_f.png,just_2006_upp_922_r.png,NA
Justin Verlander,Detroit Tigers,2009,2008,P,upper deck,IC-VE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,just_2009_upp_icve_f.png,just_2009_upp_icve_r.png,Icons (piece of game-used jersey)
Miguel Cabrera,Detroit Tigers,2014,2013,3B,topps,ODS-2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,migu_2014_top_ods2_f.png,migu_2014_top_ods2_r.png,Opening Day Stars
Miguel Cabrera,Detroit Tigers,2014,2013,3B,topps,335,1,0,0,0,1,1,0,0,0,0,0,red,0,0,0,0,0,0,0,0,1,migu_2014_top_335_f.png,migu_2014_top_335_r.png,2013 AL MVP
Nick Castellanos,Detroit Tigers,2014,2013,OF,topps,195,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,nick_2014_top_195_f.png,nick_2014_top_195_r.png,NA
Nick Castellanos,Detroit Tigers,2014,2013,OF,topps,195,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,nick_2014_top_195_f.png,nick_2014_top_195_r.png,Short Print
Max Scherzer,Detroit Tigers,2012,2011,P,bowman,164,0,0,0,0,1,1,0,0,0,0,0,gold,0,0,0,0,0,0,0,0,1,max_2012_bow_164_f.png,max_2012_bow_164_r.png,NA
Spencer Turnbull,Detroit Tigers,2019,2018,P,topps,US276,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,spen_2019_top_us276_f.png,spen_2019_top_us276_r.png,NA
Alan Trammell,Detroit Tigers,1990,1990,SS,donruss,118,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,alan_1990_don_118_f.png,alan_1990_don_118_r.png,NA
Gregory Soto,Detroit Tigers,2022,2021,P,topps,17,0,0,0,0,1,1,0,0,0,0,0,silver,0,0,0,0,0,0,0,0,1,greg_2022_top_17_f.png,greg_2022_top_17_r.png,NA
Casey Mize,Detroit Tigers,2020,2019,P,panini,PM-CM,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,case_2020_pan_pmcm_f.png,case_2020_pan_pmcm_r.png,"Prospect Materials (Jersey), Unofficial Brand"
Kyle Funkhouser,Detroit Tigers,2021,2020,P,topps,119,0,1,0,0,1,1,0,0,1,0,0,cyan,0,0,0,0,0,0,0,0,1,kyle_2021_top_119_f.png,kyle_2021_top_119_r.png,NA
Jack Morris,Detroit Tigers,1987,1986,P,topps,778,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,jack_1987_top_778_f.png,jack_1987_top_778_r.png,NA
Javier Baez,Detroit Tigers,2022,2021,SS,topps,87TB-46,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,1,javi_2022_top_87tb46_f.png,javi_2022_top_87tb46_r.png,NA
Jack Morris,Detroit Tigers,2022,2021,P,topps,319,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,jack_2022_top_319_f.png,jack_2022_top_319_r.png,NA
Spencer Torkelson,Detroit Tigers,2022,2022,1B,topps,USC100,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,spen_2022_top_usc100_f.png,spen_2022_top_usc100_r.png,NA
Riley Greene,Detroit Tigers,2023,2022,OF,topps,31,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,rile_2023_top_31_f.png,rile_2023_top_31_r.png,NA
Miguel Cabrera,Detroit Tigers,2023,2022,"1B, DH",topps,88AS-14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1,migu_2023_top_88as14_f.png,migu_2023_top_88as14_r.png,American League All Star
Gary Sheffield,Florida Marlins,2014,2013,OF,topps,WSH-GS,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,gary_2014_top_wshgs_f.png,gary_2014_top_wshgs_r.png,World Series Heroes (1997 WS)
Fredi Gonzalez,Florida Marlins,2009,2008,manager,topps,88,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,fred_2009_top_88_f.png,fred_2009_top_88_r.png,NA
Nolan Ryan,Houston Astros,1990,1989,P,topps,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,nola_1990_top_4_f.png,nola_1990_top_4_r.png,NA
Nolan Ryan,Houston Astros,1988,1987,P,topps,250,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,nola_1988_top_250_f.png,nola_1988_top_250_r.png,NA
Carlos Correa,Houston Astros,2022,2021,SS,topps,T87-31,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,1,carl_2022_top_t8731_f.png,carl_2022_top_t8731_r.png,NA
Zack Greinke,Houston Astros,2021,2020,P,topps,154,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,zack_2021_top_154_f.png,zack_2021_top_154_r.png,NA
Jose Altuve,Houston Astros,2021,2020,2B,topps,169,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,jose_2021_top_169_f.png,jose_2021_top_169_r.png,NA
Jeremy Pena,Houston Astros,2022,2022,SS,topps,USC126,0,1,0,0,1,1,0,0,1,0,0,purple,0,0,0,0,0,0,0,0,1,jere_2022_top_usc126_f.png,jere_2022_top_usc126_r.png,Rooke Debut: 4/47/2023
Wade Davis,Kansas City Royals,2014,2013,P,topps,658,0,0,0,0,1,1,0,0,0,0,0,orange,0,0,0,0,0,0,0,0,1,wade_2014_top_658_f.png,wade_2014_top_658_r.png,NA
Mike Moustakas,Kansas City Royals,2014,2013,3B,topps,341,0,0,0,0,1,1,0,0,0,0,0,orange,0,0,0,0,0,0,0,0,1,mike_2014_top_341_f.png,mike_2014_top_341_r.png,NA
Lorenzo Cain,Kansas City Royals,2014,2013,OF,topps,357,1,0,0,0,1,1,0,0,0,0,0,red,0,0,0,0,0,0,0,0,1,lore_2014_top_357_f.png,lore_2014_top_357_r.png,NA
George Brett,Kansas City Royals,2022,2021,3B,topps,87AS-39,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,1,geor_2022_top_87as39_f.png,geor_2022_top_87as39_r.png,all-star
Jared Walsh,Los Angeles Angels,2021,2020,1B,topps,258,0,0,0,0,1,1,0,0,1,0,0,cyan,1,0,0,0,0,0,0,0,1,jare_2021_top_258_f.png,jare_2021_top_258_r.png,NA
Shohei Ohtani,Los Angeles Angels,2023,2022,"P, DH",topps,SMLBC-21,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,shoh_2023_top_smlbc21_f.png,shoh_2023_top_smlbc21_r.png,Stars of MLB
C.J. Wilson,Los Angeles Angels of Anaheim,2013,2012,P,topps,CHR-CJW,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,c.j._2013_top_chrcjw_f.png,c.j._2013_top_chrcjw_r.png,"Chasing History (Record Streak), with game-used memorabilia"
Albert Pujols,Los Angeles Angels of Anaheim,2014,2013,1B,topps,625,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,albe_2014_top_625_f.png,albe_2014_top_625_r.png,NA
Grant Green,Los Angeles Angels of Anaheim,2014,2013,3B,topps,644,1,0,0,0,1,1,0,0,0,0,0,red,0,0,0,0,0,0,0,0,1,,,NA
Alex Guerrero,Los Angeles Dodgers,2014,2013,SS,topps,14,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,alex_2014_top_14_f.png,alex_2014_top_14_r.png,Checkered
D.P. May,Los Angeles Dodgers,2020,2019,P,topps,155,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,d.p._2020_top_155_f.png,d.p._2020_top_155_r.png,Gypsy Queen
Cody Bellinger,Los Angeles Dodgers,2022,2021,OF,topps,T87C-6,0,0,0,0,1,1,0,0,1,0,0,gold,1,0,0,0,0,0,0,1987,1,cody_2022_top_t87c6_f.png,cody_2022_top_t87c6_r.png,NA
Clayton Kershaw,Los Angeles Dodgers,2022,2021,P,topps,41,0,0,0,0,1,1,0,0,0,0,0,silver,0,0,0,0,0,0,0,0,1,clay_2022_top_41_f.png,clay_2022_top_41_r.png,NA
Dee Gordon,Los Angeles Dodgers,2012,2011,SS,topps,112,0,0,1,0,1,1,0,0,0,0,0,light blue,0,1,0,0,0,0,1641/2012,0,1,dee_2012_top_112_f.png,dee_2012_top_112_r.png,4/15/12
Ryan Pepiot,Los Angeles Dodgers,2022,2021,P,topps,US109,0,1,0,0,1,1,0,0,0,0,0,orange,1,0,0,0,0,0,295/299,0,1,ryan_2022_top_us109_f.png,ryan_2022_top_us109_r.png,NA
Jazz Chisholm Jr.,Miami Marlins,2022,2021,SS,topps,538,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,jazz_2022_top_538_f.png,jazz_2022_top_538_r.png,NA
Jazz Chisholm Jr.,Miami Marlins,2021,2020,SS,topps,7,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,jazz_2021_top_7_f.png,jazz_2021_top_7_r.png,NA
Avisail Garcia,Miami Marlins,2023,2022,OF,topps,USC198,0,0,0,0,1,1,0,0,1,0,0,purple,0,0,0,0,0,0,0,0,1,avis_2023_top_usc198_f.png,avis_2023_top_usc198_r.png,NA
Chad Wallach,Miami Marlins,2021,2020,C,topps,593,0,0,0,0,1,1,0,0,0,0,0,orange,1,0,0,0,0,0,117/299,0,1,chad_2021_top_593_f.png,chad_2021_top_593_r.png,NA
Esteury Ruiz,Milwaukee Brewers,2023,2022,OF,topps,88BA-ERZ,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1988,1,este_2023_top_88baerz_f.png,este_2023_top_88baerz_r.png,NA
Josh Willingham,Minnesota Twins,2014,2013,OF,topps,385,1,0,0,0,1,1,0,0,0,0,0,red,0,0,0,0,0,0,0,0,1,josh_2014_top_385_f.png,josh_2014_top_385_r.png,NA
Joe Mauer,Minnesota Twins,2014,2013,C,topps,ODS-10,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,joe_2014_top_ods10_f.png,joe_2014_top_ods10_r.png,Opening Day Stars (3D-ish card)
Alex Kirilloff,Minnesota Twins,2021,2020,OF,topps,546,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,alex_2021_top_546_f.png,alex_2021_top_546_r.png,NA
Joe Mauer,Minnesota Twins,2021,2020,"C, 1B",topps,528,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,joe_2021_top_528_f.png,joe_2021_top_528_r.png,NA
Jake Cave,Minnesota Twins,2021,2020,OF,topps,345,0,0,0,0,1,1,0,0,1,0,0,blue,0,0,0,0,0,0,0,0,1,jake_2021_top_345_f.png,jake_2021_top_345_r.png,NA
Justin Morneau,Minnesota Twins,2021,2020,1B,topps,PA-JMO,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,059/199,0,1,just_2021_top_pajmo_f.png,just_2021_top_pajmo_r.png,NA
Joe Ryan,Minnesota Twins,2022,2021,P,topps,390,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,joe_2022_top_390_f.png,joe_2022_top_390_r.png,NA
Chris Paddack,Minnesota Twins,2022,2021,P,topps,USC130,0,0,0,0,1,1,0,0,1,0,0,purple,0,0,0,0,0,0,0,0,1,chri_2022_top_usc130_f.png,chri_2022_top_usc130_r.png,NA
Brian Duensing,Minnesota Twins,2014,2013,P,topps,488,1,0,0,0,1,1,0,0,0,0,0,gold,0,0,0,0,0,0,1239/2014,0,1,bria_2014_top_488_f.png,bria_2014_top_488_r.png,NA
Vladimir Guerrero,Montreal Expos,2021,2020,OF,topps,521,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,vlad_2021_top_521_f.png,vlad_2021_top_521_r.png,Topps Chrome
Jeurys Familia,New York Mets,2014,2013,P,topps,376,1,0,0,0,1,1,0,0,0,0,0,red,0,0,0,0,0,0,0,0,1,jeur_2014_top_376_f.png,jeur_2014_top_376_r.png,NA
David Wright,New York Mets,2014,2013,3B,topps,TM-DW,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,davi_2014_top_tmdw_f.png,davi_2014_top_tmdw_r.png,Topps Mini
Travis d'Arnaud,New York Mets,2014,2013,C,topps,248,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,trav_2014_top_248_f.png,trav_2014_top_248_r.png,NA
Jacob deGrom,New York Mets,2014,2013,P,topps,MB-19,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,jaco_2014_top_mb19_f.png,jaco_2014_top_mb19_r.png,NA
Steven Matz,New York Mets,2015,2014,P,bowman,92,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,stev_2015_bow_92_f.png,stev_2015_bow_92_r.png,Bowman's Best
Noah Syndergaard,New York Mets,2015,2014,P,topps,618,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,noah_2015_top_618_f.png,noah_2015_top_618_r.png,NA
Amed Rosario,New York Mets,2018,2017,SS,topps,60,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,amed_2018_top_60_f.png,amed_2018_top_60_r.png,NA
