name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,notes
Josh Lueke,Seattle Mariners,2011,2010,P,topps,618,0,1,0,0,1,0,
Cliff Lee,Seattle Mariners,2010,2009,P,topps,none,0,0,0,0,1,1,Topps Attax
Jason Vargas,Seattle Mariners,2013,2012,P,topps,82,1,0,0,0,1,0,
Felix Hernandez,Seattle Mariners,2011,2010,P,topps,168,0,0,0,0,1,1,2010 AL Cy Young Award Winner
Tom Wilhelmsen,Seattle Mariners,2011,2010,P,topps,333,0,1,0,0,1,0,
Kenji Johjima,Seattle Mariners,2009,2008,C,upper deck,262,0,0,0,0,1,1,First Edition (Gold Border)
Adam Moore,Seattle Mariners,2011,2010,C,topps,399,0,0,0,0,1,0,
Jose Lopez,Seattle Mariners,2010,2009,2B,topps,none,0,0,0,0,1,1,Topps Attax
Jose Lopez,Seattle Mariners,2011,2010,3B,topps,173,0,0,0,0,1,0,
Adrian Beltre,Seattle Mariners,2009,2008,3B,topps,560,0,0,0,0,1,0,
Jack Wilson,Seattle Mariners,2011,2010,SS,topps,85,0,0,0,0,1,0,
Chone Figgins,Seattle Mariners,2011,2010,2B,topps,468,0,0,0,0,1,0,
Kyle Seager,Seattle Mariners,2013,2012,3B,topps,162,0,0,0,0,1,0,
Justin Smoak,Seattle Mariners,2011,2010,1B,topps,483,0,0,0,0,1,0,
Jack Cust,Seattle Mariners,2011,2010,DH,topps,402,0,0,0,0,1,0,
Russell Branyan,Seattle Mariners,2011,2010,DH,topps,116,0,0,0,0,1,0,
Ken Griffey Jr.,Seattle Mariners,2010,2009,DH,topps,none,0,0,0,0,1,1,Topps Attax
Raul Ibanez,Seattle Mariners,2008,2007,OF,upper deck,647,0,0,0,0,1,0,
Michael Saunders,Seattle Mariners,2011,2010,OF,topps,252,0,0,0,0,1,0,
Ichiro,Seattle Mariners,2012,2011,OF,topps,50,0,0,1,0,1,0,
Franklin Gutierrez,Seattle Mariners,2011,2010,OF,topps,477,0,0,0,0,2,0,
Ichiro,Seattle Mariners,2009,2008,OF,upper deck,SQ-12,0,0,0,0,1,1,Starquest
Greg Halman,Seattle Mariners,2011,2010,OF,topps,83,0,1,0,0,1,0,
Ichiro,Seattle Mariners,2011,2010,OF,topps,200,1,0,0,0,2,1,One is Factory Set Limited Edition
Milton Bradley,Seattle Mariners,2011,2010,OF,topps,224,0,0,0,0,1,0,
Ichiro,Seattle Mariners,2011,2010,OF,topps,385,0,0,0,0,1,1,"Series 2 Checklist 3 of 5, 10 Straight 200-Hit Seasons"
Kyle Seager,Seattle Mariners,2014,2013,3B,topps,28,1,0,1,0,1,0,
Nick Franklin,Seattle Mariners,2014,2013,SS,topps,177,0,0,1,0,1,1,
Hasashi Iwakuma,Seattle Mariners,2014,2013,P,topps,76,0,0,1,0,1,0,
